위도,경도,교차로명,노드아이디,권역코드,Y좌표,X좌표
3727.7950000000,12731.6700000000,공세교차로IC                  ,2400049800,,246630.8641060000,440252.6979700000
3727.6270000000,12731.8230000000,공세교차로IC                  ,2400049700,,246858.1578360000,439943.2418760000
3727.7290000000,12731.7580000000,공세교차로                    ,2400049600,,246761.3964220000,440130.2137560000
3727.6890000000,12731.7420000000,신내교                        ,2400049500,,246738.0127400000,440056.5651720000
3727.9450000000,12731.5190000000,흑천교(북)                    ,2400049400,,246414.5388800000,440536.0504060000
3728.2290000000,12731.2900000000,회현교                        ,2400049300,,246073.4524330000,441050.3604850000
3728.3240000000,12731.2200000000,(회현교앞)                    ,2400049200,,245966.1326430000,441225.2339240000
3726.4720000000,12717.1690000000,,2340050300,,225256.8480830000,437713.6079640000
3727.6040000000,12715.3000000000,,2340050200,,222494.9277540000,439798.7693570000
3725.4700000000,12717.8900000000,,2340050100,,226325.8756990000,435863.9106060000
3726.9390000000,12715.9810000000,광주IC 서측(본선)             ,2340050000,,223502.4593210000,438572.1010560000
3727.0980000000,12715.5070000000,,2340049900,,222801.9520630000,438863.3972250000
3726.8680000000,12716.2230000000,,2340049800,,223859.6995190000,438441.0452530000
3726.7980000000,12716.4460000000,광주IC 동측(본선)             ,2340049700,,224188.6790630000,438314.0250070000
3726.8350000000,12716.3040000000,,2340049600,,223978.9075860000,438380.5731990000
3726.9170000000,12716.2900000000,,2340049400,,223956.3699710000,438532.0050580000
3726.8150000000,12716.0400000000,광주IC 서측(연결로)           ,2340049300,,223586.7624680000,438341.3965760000
3726.7470000000,12715.9680000000,,2340049200,,223483.4868550000,438219.1578690000
3726.7850000000,12715.8950000000,,2340049100,,223376.7176290000,438287.0390710000
3726.5710000000,12715.8130000000,번천마을앞                    ,2340049000,,223258.3229290000,437895.4321030000
3726.9140000000,12715.5900000000,번천사거리                    ,2340048900,,222933.2895760000,438522.9734100000
3725.2720000000,12717.9180000000,,2340048700,,226367.7099630000,435496.1273310000
3721.1100000000,12719.2680000000,,2340048600,,228385.6540690000,427805.1745330000
3720.9260000000,12719.3390000000,곤지암IC 남측(본선)           ,2340048500,,228491.8896190000,427464.5873230000
3721.0440000000,12719.1980000000,,2340048400,,228283.6965520000,427681.9010870000
3721.2620000000,12719.3340000000,곤지암IC 동측(연결로)         ,2340048300,,228482.3776740000,428086.2257650000
